turn=0generation=30, rounds=50
generation=26	strategy0=0.0004	strategy1=0.1158	strategy2=0.0570	strategy3=0.0549	strategy4=0.0554	strategy5=0.0530	strategy6=0.0534	strategy7=0.0535	strategy8=0.0562	strategy9=0.0541	strategy10=0.0570	strategy11=0.0553	strategy12=0.0574	strategy13=0.0553	strategy14=0.0526	strategy15=0.0587	strategy16=0.0561	strategy17=0.0540	
generation=27	strategy0=0.0004	strategy1=0.1158	strategy2=0.0570	strategy3=0.0549	strategy4=0.0554	strategy5=0.0530	strategy6=0.0534	strategy7=0.0535	strategy8=0.0562	strategy9=0.0541	strategy10=0.0570	strategy11=0.0553	strategy12=0.0574	strategy13=0.0553	strategy14=0.0526	strategy15=0.0587	strategy16=0.0561	strategy17=0.0540	
generation=28	strategy0=0.0004	strategy1=0.1158	strategy2=0.0570	strategy3=0.0549	strategy4=0.0554	strategy5=0.0530	strategy6=0.0534	strategy7=0.0535	strategy8=0.0562	strategy9=0.0541	strategy10=0.0570	strategy11=0.0553	strategy12=0.0574	strategy13=0.0553	strategy14=0.0526	strategy15=0.0587	strategy16=0.0561	strategy17=0.0540	
generation=29	strategy0=0.0004	strategy1=0.1159	strategy2=0.0570	strategy3=0.0549	strategy4=0.0554	strategy5=0.0530	strategy6=0.0534	strategy7=0.0535	strategy8=0.0562	strategy9=0.0541	strategy10=0.0570	strategy11=0.0553	strategy12=0.0574	strategy13=0.0553	strategy14=0.0526	strategy15=0.0586	strategy16=0.0561	strategy17=0.0540	

turn=2generation=30, rounds=50
generation=0	strategy0=0.0531	strategy1=0.0536	strategy2=0.0564	strategy3=0.0529	strategy4=0.0548	strategy5=0.0545	strategy6=0.0574	strategy7=0.0543	strategy8=0.0575	strategy9=0.0582	strategy10=0.0553	strategy11=0.0538	strategy12=0.0570	strategy13=0.0587	strategy14=0.0571	strategy15=0.0558	strategy16=0.0548	strategy17=0.0549	
generation=1	strategy0=0.0036	strategy1=0.1065	strategy2=0.0564	strategy3=0.0529	strategy4=0.0547	strategy5=0.0525	strategy6=0.0573	strategy7=0.0541	strategy8=0.0569	strategy9=0.0581	strategy10=0.0553	strategy11=0.0538	strategy12=0.0569	strategy13=0.0586	strategy14=0.0570	strategy15=0.0557	strategy16=0.0548	strategy17=0.0549	
generation=2	strategy0=0.0012	strategy1=0.1093	strategy2=0.0564	strategy3=0.0529	strategy4=0.0547	strategy5=0.0523	strategy6=0.0573	strategy7=0.0540	strategy8=0.0568	strategy9=0.0581	strategy10=0.0553	strategy11=0.0538	strategy12=0.0569	strategy13=0.0586	strategy14=0.0570	strategy15=0.0557	strategy16=0.0548	strategy17=0.0549	
generation=3	strategy0=0.0010	strategy1=0.1095	strategy2=0.0564	strategy3=0.0529	strategy4=0.0547	strategy5=0.0523	strategy6=0.0573	strategy7=0.0540	strategy8=0.0568	strategy9=0.0581	strategy10=0.0553	strategy11=0.0538	strategy12=0.0569	strategy13=0.0586	strategy14=0.0570	strategy15=0.0557	strategy16=0.0548	strategy17=0.0549	
generation=4	strategy0=0.0010	strategy1=0.1096	strategy2=0.0564	strategy3=0.0529	strategy4=0.0547	strategy5=0.0523	strategy6=0.0573	strategy7=0.0539	strategy8=0.0568	strategy9=0.0581	strategy10=0.0553	strategy11=0.0538	strategy12=0.0569	strategy13=0.0586	strategy14=0.0570	strategy15=0.0557	strategy16=0.0547	strategy17=0.0549	
generation=5	strategy0=0.0009	strategy1=0.1097	strategy2=0.0564	strategy3=0.0529	strategy4=0.0547	strategy5=0.0523	strategy6=0.0573	strategy7=0.0539	strategy8=0.0568	strategy9=0.0581	strategy10=0.0553	strategy11=0.0538	strategy12=0.0569	strategy13=0.0586	strategy14=0.0570	strategy15=0.0557	strategy16=0.0547	strategy17=0.0549	
generation=6	strategy0=0.0009	strategy1=0.1098	strategy2=0.0564	strategy3=0.0529	strategy4=0.0547	strategy5=0.0523	strategy6=0.0573	strategy7=0.0539	strategy8=0.0568	strategy9=0.0581	strategy10=0.0553	strategy11=0.0538	strategy12=0.0569	strategy13=0.0586	strategy14=0.0570	strategy15=0.0557	strategy16=0.0547	strategy17=0.0549	
generation=7	strategy0=0.0009	strategy1=0.1098	strategy2=0.0564	strategy3=0.0529	strategy4=0.0547	strategy5=0.0522	strategy6=0.0573	strategy7=0.0539	strategy8=0.0568	strategy9=0.0581	strategy10=0.0553	strategy11=0.0538	strategy12=0.0569	strategy13=0.0586	strategy14=0.0570	strategy15=0.0557	strategy16=0.0547	strategy17=0.0549	
generation=8	strategy0=0.0009	strategy1=0.1099	strategy2=0.0564	strategy3=0.0529	strategy4=0.0547	strategy5=0.0522	strategy6=0.0573	strategy7=0.0539	strategy8=0.0568	strategy9=0.0581	strategy10=0.0553	strategy11=0.0538	strategy12=0.0569	strategy13=0.0586	strategy14=0.0570	strategy15=0.0557	strategy16=0.0547	strategy17=0.0549	
generation=9	strategy0=0.0008	strategy1=0.1100	strategy2=0.0564	strategy3=0.0529	strategy4=0.0547	strategy5=0.0522	strategy6=0.0573	strategy7=0.0539	strategy8=0.0568	strategy9=0.0581	strategy10=0.0553	strategy11=0.0538	strategy12=0.0569	strategy13=0.0586	strategy14=0.0570	strategy15=0.0557	strategy16=0.0547	strategy17=0.0549	
generation=10	strategy0=0.0008	strategy1=0.1101	strategy2=0.0564	strategy3=0.0529	strategy4=0.0547	strategy5=0.0522	strategy6=0.0573	strategy7=0.0539	strategy8=0.0568	strategy9=0.0581	strategy10=0.0553	strategy11=0.0538	strategy12=0.0569	strategy13=0.0586	strategy14=0.0570	strategy15=0.0557	strategy16=0.0547	strategy17=0.0549	
generation=11	strategy0=0.0008	strategy1=0.1101	strategy2=0.0564	strategy3=0.0529	strategy4=0.0547	strategy5=0.0522	strategy6=0.0573	strategy7=0.0539	strategy8=0.0568	strategy9=0.0581	strategy10=0.0553	strategy11=0.0538	strategy12=0.0569	strategy13=0.0586	strategy14=0.0570	strategy15=0.0557	strategy16=0.0547	strategy17=0.0549	
generation=12	strategy0=0.0008	strategy1=0.1102	strategy2=0.0564	strategy3=0.0529	strategy4=0.0547	strategy5=0.0521	strategy6=0.0573	strategy7=0.0539	strategy8=0.0568	strategy9=0.0581	strategy10=0.0553	strategy11=0.0538	strategy12=0.0569	strategy13=0.0586	strategy14=0.0570	strategy15=0.0557	strategy16=0.0547	strategy17=0.0549	
generation=13	strategy0=0.0007	strategy1=0.1102	strategy2=0.0564	strategy3=0.0529	strategy4=0.0547	strategy5=0.0521	strategy6=0.0573	strategy7=0.0539	strategy8=0.0568	strategy9=0.0581	strategy10=0.0553	strategy11=0.0538	strategy12=0.0569	strategy13=0.0586	strategy14=0.0570	strategy15=0.0557	strategy16=0.0547	strategy17=0.0549	
