generation=30, rounds=50	ratio=50;50
strategy1=6 strategy2=15, 30	0.72	0.28, smallcompany1=0.7290,smallcompany2=0.2710, bigcompany1=0.7050,bigcompany2=0.2950
strategy1=6 strategy2=16, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=6 strategy2=17, 30	0.09	0.91, smallcompany1=0.0881,smallcompany2=0.9119, bigcompany1=0.0946,bigcompany2=0.9054
strategy1=7 strategy2=0, 30	1.00	0.00, smallcompany1=1.0000,smallcompany2=0.0000, bigcompany1=1.0000,bigcompany2=0.0000
strategy1=7 strategy2=1, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=7 strategy2=2, 30	0.64	0.36, smallcompany1=0.6266,smallcompany2=0.3734, bigcompany1=0.6713,bigcompany2=0.3287
strategy1=7 strategy2=3, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=7 strategy2=4, 30	0.02	0.98, smallcompany1=0.0137,smallcompany2=0.9863, bigcompany1=0.0278,bigcompany2=0.9722
strategy1=7 strategy2=5, 30	1.00	0.00, smallcompany1=1.0000,smallcompany2=0.0000, bigcompany1=1.0000,bigcompany2=0.0000
strategy1=7 strategy2=6, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=7 strategy2=8, 30	1.00	0.00, smallcompany1=1.0000,smallcompany2=0.0000, bigcompany1=0.9999,bigcompany2=0.0001
strategy1=7 strategy2=9, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=7 strategy2=10, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=7 strategy2=11, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=7 strategy2=12, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=7 strategy2=13, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0003,bigcompany2=0.9997
strategy1=7 strategy2=14, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0014,bigcompany2=0.9986
strategy1=7 strategy2=15, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=7 strategy2=16, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=7 strategy2=17, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=8 strategy2=0, 30	0.27	0.73, smallcompany1=0.2907,smallcompany2=0.7093, bigcompany1=0.2363,bigcompany2=0.7637
strategy1=8 strategy2=1, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=8 strategy2=2, 30	0.98	0.02, smallcompany1=0.9766,smallcompany2=0.0234, bigcompany1=0.9824,bigcompany2=0.0176
strategy1=8 strategy2=3, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=8 strategy2=4, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=8 strategy2=5, 30	0.99	0.01, smallcompany1=0.9845,smallcompany2=0.0155, bigcompany1=0.9871,bigcompany2=0.0129
strategy1=8 strategy2=6, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=8 strategy2=7, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=8 strategy2=9, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=8 strategy2=10, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=8 strategy2=11, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=8 strategy2=12, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=8 strategy2=13, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=8 strategy2=14, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=8 strategy2=15, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=8 strategy2=16, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=8 strategy2=17, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=9 strategy2=0, 30	1.00	0.00, smallcompany1=1.0000,smallcompany2=0.0000, bigcompany1=1.0000,bigcompany2=0.0000
strategy1=9 strategy2=1, 30	0.50	0.50, smallcompany1=0.5039,smallcompany2=0.4961, bigcompany1=0.5033,bigcompany2=0.4967
strategy1=9 strategy2=2, 30	0.50	0.50, smallcompany1=0.4985,smallcompany2=0.5015, bigcompany1=0.5052,bigcompany2=0.4948
strategy1=9 strategy2=3, 30	0.51	0.49, smallcompany1=0.5093,smallcompany2=0.4907, bigcompany1=0.5016,bigcompany2=0.4984
strategy1=9 strategy2=4, 30	0.50	0.50, smallcompany1=0.4987,smallcompany2=0.5013, bigcompany1=0.5023,bigcompany2=0.4977
strategy1=9 strategy2=5, 30	1.00	0.00, smallcompany1=1.0000,smallcompany2=0.0000, bigcompany1=1.0000,bigcompany2=0.0000
strategy1=9 strategy2=6, 30	0.50	0.50, smallcompany1=0.4959,smallcompany2=0.5041, bigcompany1=0.4978,bigcompany2=0.5022
strategy1=9 strategy2=7, 30	1.00	0.00, smallcompany1=1.0000,smallcompany2=0.0000, bigcompany1=1.0000,bigcompany2=0.0000
strategy1=9 strategy2=8, 30	1.00	0.00, smallcompany1=1.0000,smallcompany2=0.0000, bigcompany1=1.0000,bigcompany2=0.0000
strategy1=9 strategy2=10, 30	0.49	0.51, smallcompany1=0.4901,smallcompany2=0.5099, bigcompany1=0.4948,bigcompany2=0.5052
strategy1=9 strategy2=11, 30	0.49	0.51, smallcompany1=0.4946,smallcompany2=0.5054, bigcompany1=0.4921,bigcompany2=0.5079
strategy1=9 strategy2=12, 30	0.50	0.50, smallcompany1=0.5022,smallcompany2=0.4978, bigcompany1=0.5059,bigcompany2=0.4941
strategy1=9 strategy2=13, 30	0.51	0.49, smallcompany1=0.5149,smallcompany2=0.4851, bigcompany1=0.5150,bigcompany2=0.4850
strategy1=9 strategy2=14, 30	0.51	0.49, smallcompany1=0.5061,smallcompany2=0.4939, bigcompany1=0.5029,bigcompany2=0.4971
strategy1=9 strategy2=15, 30	0.58	0.42, smallcompany1=0.5817,smallcompany2=0.4183, bigcompany1=0.5839,bigcompany2=0.4161
strategy1=9 strategy2=16, 30	0.60	0.40, smallcompany1=0.5985,smallcompany2=0.4015, bigcompany1=0.6069,bigcompany2=0.3931
strategy1=9 strategy2=17, 30	0.57	0.43, smallcompany1=0.5688,smallcompany2=0.4312, bigcompany1=0.5738,bigcompany2=0.4262
strategy1=10 strategy2=0, 30	1.00	0.00, smallcompany1=1.0000,smallcompany2=0.0000, bigcompany1=1.0000,bigcompany2=0.0000
strategy1=10 strategy2=1, 30	0.49	0.51, smallcompany1=0.4927,smallcompany2=0.5073, bigcompany1=0.4974,bigcompany2=0.5026
strategy1=10 strategy2=2, 30	0.51	0.49, smallcompany1=0.5170,smallcompany2=0.4830, bigcompany1=0.5097,bigcompany2=0.4903
strategy1=10 strategy2=3, 30	0.49	0.51, smallcompany1=0.4953,smallcompany2=0.5047, bigcompany1=0.4939,bigcompany2=0.5061
strategy1=10 strategy2=4, 30	0.50	0.50, smallcompany1=0.4962,smallcompany2=0.5038, bigcompany1=0.5045,bigcompany2=0.4955
strategy1=10 strategy2=5, 30	1.00	0.00, smallcompany1=1.0000,smallcompany2=0.0000, bigcompany1=1.0000,bigcompany2=0.0000
strategy1=10 strategy2=6, 30	0.50	0.50, smallcompany1=0.4952,smallcompany2=0.5048, bigcompany1=0.4980,bigcompany2=0.5020
strategy1=10 strategy2=7, 30	1.00	0.00, smallcompany1=1.0000,smallcompany2=0.0000, bigcompany1=1.0000,bigcompany2=0.0000
strategy1=10 strategy2=8, 30	1.00	0.00, smallcompany1=1.0000,smallcompany2=0.0000, bigcompany1=1.0000,bigcompany2=0.0000
strategy1=10 strategy2=9, 30	0.50	0.50, smallcompany1=0.5000,smallcompany2=0.5000, bigcompany1=0.4961,bigcompany2=0.5039
strategy1=10 strategy2=11, 30	0.49	0.51, smallcompany1=0.4897,smallcompany2=0.5103, bigcompany1=0.4888,bigcompany2=0.5112
strategy1=10 strategy2=12, 30	0.51	0.49, smallcompany1=0.5140,smallcompany2=0.4860, bigcompany1=0.5148,bigcompany2=0.4852
strategy1=10 strategy2=13, 30	0.50	0.50, smallcompany1=0.5051,smallcompany2=0.4949, bigcompany1=0.5002,bigcompany2=0.4998
strategy1=10 strategy2=14, 30	0.50	0.50, smallcompany1=0.5010,smallcompany2=0.4990, bigcompany1=0.5047,bigcompany2=0.4953
strategy1=10 strategy2=15, 30	0.88	0.12, smallcompany1=0.8816,smallcompany2=0.1184, bigcompany1=0.8801,bigcompany2=0.1199
strategy1=10 strategy2=16, 30	0.07	0.93, smallcompany1=0.0659,smallcompany2=0.9341, bigcompany1=0.0643,bigcompany2=0.9357
